,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Merge,Entity,Code,Year,Coal Electricity (TWh),Gas Electricity (TWh),Hydro Electricity (TWh),Nuclear Electricity (TWh),Oil Electricity (TWh),Other Renewables Electricity (TWh),Solar Electricity (TWh),Wind Electricity (TWh),Biofuels Energy (TWh),Coal Energy (TWh),Gas Energy (TWh),Other Energy (TWh),Hydro Energy (TWh),Nuclear Energy (TWh),Solar Energy (TWh),Wind Energy (TWh),Oil Energy (TWh),Total Electricity,Total Energy,Total Fossil Fuel Electricity (TWh),Total Sustainable Electricity (TWh),Total Fossil Fuel Energy (TWh),Total Sustainable Energy (TWh),Coal Electricity Share (%),Gas Electricity Share (%),Hydro Electricity Share (%),Nuclear Electricity Share (%),Oil Electricity Share (%),Other Renewables Electricity Share (%),Solar Electricity Share (%),Wind Electricity Share (%),Total Fossil Fuel Electricity Share (%),Total Sustainable Electricity Share (%),Biofuels Energy Share (%),Coal Energy Share (%),Gas Energy Share (%),Other Energy Share (%),Hydro Energy Share (%),Nuclear Energy Share (%),Solar Energy Share (%),Wind Energy Share (%),Oil Energy Share (%),Total Fossil Fuel Energy Share (%),Total Sustainable Energy Share (%),Coal Electricity per Capita (TWh/person),Gas Electricity per Capita (TWh/person),Hydro Electricity per Capita (TWh/person),Nuclear Electricity per Capita (TWh/person),Oil Electricity per Capita (TWh/person),Other Renewables Electricity per Capita (TWh/person),Solar Electricity per Capita (TWh/person),Wind Electricity per Capita (TWh/person),Total Fossil Fuel Electricity per Capita (TWh/person),Total Sustainable Electricity per Capita (TWh/person),Biofuels Energy per Capita (TWh/person),Coal Energy per Capita (TWh/person),Gas Energy per Capita (TWh/person),Other Energy per Capita (TWh/person),Hydro Energy per Capita (TWh/person),Nuclear Energy per Capita (TWh/person),Solar Energy per Capita (TWh/person),Wind Energy per Capita (TWh/person),Oil Energy per Capita (TWh/person),Total Fossil Fuel Energy per Capita (TWh/person),Total Sustainable Energy per Capita (TWh/person),Coal Electricity per Capita (TWh/$),Gas Electricity per Capita (TWh/$),Hydro Electricity per Capita (TWh/$),Nuclear Electricity per Capita (TWh/$),Oil Electricity per Capita (TWh/$),Other Renewables Electricity per Capita (TWh/$),Solar Electricity per Capita (TWh/$),Wind Electricity per Capita (TWh/$),Total Fossil Fuel Electricity per Capita (TWh/$),Total Sustainable Electricity per Capita (TWh/$),Biofuels Energy per Capita (TWh/$),Coal Energy per Capita (TWh/$),Gas Energy per Capita (TWh/$),Other Energy per Capita (TWh/$),Hydro Energy per Capita (TWh/$),Nuclear Energy per Capita (TWh/$),Solar Energy per Capita (TWh/$),Wind Energy per Capita (TWh/$),Oil Energy per Capita (TWh/$),Total Fossil Fuel Energy per Capita (TWh/$),Total Sustainable Energy per Capita (TWh/$),GDP per capita (2011 USD),Population,GDP (2011 USD)
0,19,19,19,Afghanistan2019,Afghanistan,AFG,2019,0,0.176,1.070333333,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,inf,,0.176,1.107333333,0,0,0,0.137142857,0.834025974,0,0,0,0.028831169,0,0.137142857,0.862857143,,,,,,,,,,,,0,4.63E-09,2.81E-08,0,0,0,9.73E-10,0,4.63E-09,2.91E-08,0,0,0,0,0,0,0,0,0,0,0,,inf,inf,,,,inf,,inf,inf,,,,,,,,,,,,0,38042000,0
1,74,74,74,Africa2019,Africa,0,2019,253.5559777,340.4728196,132.7347905,14.214193,81.27423987,8.184247278,19.37797783,17.5080525,0.972246056,1242.32981,1501.277924,20.26596806,328.6800767,35.19741917,47.98406806,43.35372833,2299.622179,inf,inf,675.3030372,192.0192611,5043.229913,476.4535064,0.292343432,0.392556285,0.153039753,0.016388594,0.09370708,0.009436224,0.022342303,0.020186328,0.778606798,0.221393202,0.000176142,0.225072656,0.271986237,0.003671582,0.059546907,0.00637671,0.008693265,0.007854387,0.416622115,0.913681008,0.086318992,1.94E-07,2.60E-07,1.01E-07,1.09E-08,6.21E-08,6.26E-09,1.48E-08,1.34E-08,5.16E-07,1.47E-07,7.43E-10,9.50E-07,1.15E-06,1.55E-08,2.51E-07,2.69E-08,3.67E-08,3.31E-08,1.76E-06,3.86E-06,3.64E-07,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,1308064000,0
2,94,94,94,Albania2019,Albania,ALB,2019,0,0,4.018,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,inf,,0,4.019,0,0,0,0,0.999751182,0,0,0,0.000248818,0,0,1,,,,,,,,,,,,0,0,1.39E-06,0,0,0,3.47E-10,0,0,1.40E-06,0,0,0,0,0,0,0,0,0,0,0,,,inf,,,,inf,,,inf,,,,,,,,,,,,0,2881000,0
3,149,149,149,Algeria2019,Algeria,DZA,2019,0,72.993,0.1515,0,0,0,0.615,0.01,0,5.815,452.375,0,0.375146667,0,1.522873056,0.02475,244.9269781,inf,inf,72.993,0.7765,703.1169781,1.922769723,0,0.98947397,0.002053694,0,0,0,0.008336779,0.000135557,0.98947397,0.01052603,0,0.008247762,0.641630492,0,0.000532093,0,0.002159982,3.51E-05,0.347394567,0.997272821,0.002727179,0,1.70E-06,3.52E-09,0,0,0,1.43E-08,2.32E-10,1.70E-06,1.80E-08,0,1.35E-07,1.05E-05,0,8.71E-09,0,3.54E-08,5.75E-10,5.69E-06,1.63E-05,4.47E-08,,inf,inf,,,,inf,inf,inf,inf,,inf,inf,,inf,,inf,inf,inf,inf,inf,0,43053000,0
4,169,169,169,American Samoa2019,American Samoa,ASM,2019,0,0,0,0,0.168333333,0,0,0,0,0,0,0,0,0,0,0,0,inf,,0.168333333,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,0,0,0,0,3.06E-06,0,0,0,3.06E-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,inf,,,,inf,,,,,,,,,,,,,0,55000,0
5,189,189,189,Angola2019,Angola,AGO,2019,0,1.327969126,8.422333333,0,1.11069754,0.252666667,0.018,0,0,0,0,0,0,0,0,0,0,inf,,2.438666666,8.693,0,0,0,0.119296523,0.756610271,0,0.099778189,0.022698009,0.001617009,0,0.219074712,0.780925288,,,,,,,,,,,,0,4.17E-08,2.65E-07,0,3.49E-08,7.94E-09,5.66E-10,0,7.66E-08,2.73E-07,0,0,0,0,0,0,0,0,0,0,0,,inf,inf,,inf,inf,inf,,inf,inf,,,,,,,,,,,,0,31825000,0
6,209,209,209,Antigua and Barbuda2019,Antigua and Barbuda,ATG,2019,0,0,0,0,0.326666667,0,0.006333333,0,0,0,0,0,0,0,0,0,0,inf,,0.326666667,0.006333333,0,0,0,0,0,0,0.980980982,0,0.019019018,0,0.980980982,0.019019018,,,,,,,,,,,,0,0,0,0,3.37E-06,0,6.53E-08,0,3.37E-06,6.53E-08,0,0,0,0,0,0,0,0,0,0,0,,,,,inf,,inf,,inf,inf,,,,,,,,,,,,0,97000,0
7,264,264,264,Argentina2019,Argentina,ARG,2019,0.710430441,82.28288265,37.06678708,8.441898,2.756028,2.397314002,0.799697913,4.995966424,18.32202364,6.347702222,474.9059506,5.936268333,91.78538917,20.90396694,1.980225278,12.37109444,329.327775,inf,inf,85.74934109,53.70166342,810.5814278,151.2989678,0.005094481,0.590048691,0.265805092,0.06053666,0.019763414,0.017191084,0.005734616,0.035825962,0.614906586,0.385093414,0.019048131,0.006599264,0.493726614,0.006171524,0.095422871,0.021732397,0.002058702,0.012861365,0.342379132,0.842705009,0.157294991,1.59E-08,1.84E-06,8.28E-07,1.89E-07,6.15E-08,5.35E-08,1.79E-08,1.12E-07,1.91E-06,1.20E-06,4.09E-07,1.42E-07,1.06E-05,1.33E-07,2.05E-06,4.67E-07,4.42E-08,2.76E-07,7.35E-06,1.81E-05,3.38E-06,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,44781000,0
8,284,284,284,Armenia2019,Armenia,ARM,2019,0,2.722333333,2.266666667,1.673666667,0,0,0.003666667,0.001666667,0,0,0,0,0,0,0,0,0,inf,,2.722333333,3.945666668,0,0,0,0.408268346,0.339932014,0.2509998,0,0,0.00054989,0.00024995,0.408268346,0.591731654,,,,,,,,,,,,0,9.20E-07,7.66E-07,5.66E-07,0,0,1.24E-09,5.63E-10,9.20E-07,1.33E-06,0,0,0,0,0,0,0,0,0,0,0,,inf,inf,inf,,,inf,inf,inf,inf,,,,,,,,,,,,0,2958000,0
9,304,304,304,Aruba2019,Aruba,ABW,2019,0,0,0,0,0.783333333,0.006,0.009,0.120666667,0,0,0,0,0,0,0,0,0,inf,,0.783333333,0.135666667,0,0,0,0,0,0,0.85237577,0.006528836,0.009793254,0.13130214,0.85237577,0.14762423,,,,,,,,,,,,0,0,0,0,7.39E-06,5.66E-08,8.49E-08,1.14E-06,7.39E-06,1.28E-06,0,0,0,0,0,0,0,0,0,0,0,,,,,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,0,106000,0
